#INST CMOD FORCE
2.90000E-01 5.41206E-01 1.77300E+03
2.91000E-01 5.43202E-01 1.77360E+03
2.92000E-01 5.45198E-01 1.77420E+03
2.93000E-01 5.47194E-01 1.77479E+03
2.94000E-01 5.49190E-01 1.77538E+03
2.95000E-01 5.51186E-01 1.77597E+03
2.96000E-01 5.53183E-01 1.77655E+03
2.97000E-01 5.55179E-01 1.77713E+03
2.98000E-01 5.57176E-01 1.77771E+03
2.99000E-01 5.59172E-01 1.77829E+03
3.00000E-01 5.61169E-01 1.77886E+03
3.01000E-01 5.63166E-01 1.77944E+03
3.02000E-01 5.65163E-01 1.78001E+03
3.03000E-01 5.67160E-01 1.78057E+03
3.04000E-01 5.69157E-01 1.78114E+03
3.05000E-01 5.71154E-01 1.78170E+03
3.06000E-01 5.73152E-01 1.78226E+03
3.07000E-01 5.75149E-01 1.78282E+03
3.08000E-01 5.77146E-01 1.78338E+03
3.09000E-01 5.79144E-01 1.78393E+03
3.10000E-01 5.81142E-01 1.78448E+03
3.11000E-01 5.83139E-01 1.78503E+03
3.12000E-01 5.85137E-01 1.78557E+03
3.13000E-01 5.87135E-01 1.78612E+03
3.14000E-01 5.89133E-01 1.78666E+03
3.15000E-01 5.91131E-01 1.78720E+03
3.16000E-01 5.93129E-01 1.78774E+03
3.17000E-01 5.95128E-01 1.78827E+03
3.18000E-01 5.97126E-01 1.78881E+03
3.19000E-01 5.99124E-01 1.78934E+03
3.20000E-01 6.01123E-01 1.78987E+03
3.21000E-01 6.03121E-01 1.79040E+03
3.22000E-01 6.05120E-01 1.79092E+03
3.23000E-01 6.07119E-01 1.79145E+03
3.24000E-01 6.09118E-01 1.79197E+03
3.25000E-01 6.11116E-01 1.79249E+03
3.26000E-01 6.13115E-01 1.79301E+03
3.27000E-01 6.15114E-01 1.79352E+03
3.28000E-01 6.17113E-01 1.79404E+03
3.29000E-01 6.19113E-01 1.79455E+03
3.30000E-01 6.21112E-01 1.79506E+03
3.31000E-01 6.23111E-01 1.79557E+03
3.32000E-01 6.25111E-01 1.79608E+03
3.33000E-01 6.27110E-01 1.79659E+03
3.34000E-01 6.29110E-01 1.79709E+03
3.35000E-01 6.31109E-01 1.79759E+03
3.36000E-01 6.33109E-01 1.79809E+03
3.37000E-01 6.35109E-01 1.79859E+03
3.38000E-01 6.37109E-01 1.79909E+03
3.39000E-01 6.39108E-01 1.79959E+03
3.40000E-01 6.41108E-01 1.80008E+03
3.41000E-01 6.43108E-01 1.80058E+03
3.42000E-01 6.45109E-01 1.80107E+03
3.43000E-01 6.47109E-01 1.80156E+03
3.44000E-01 6.49109E-01 1.80205E+03
3.45000E-01 6.51109E-01 1.80253E+03
3.46000E-01 6.53110E-01 1.80302E+03
3.47000E-01 6.55110E-01 1.80350E+03
3.48000E-01 6.57111E-01 1.80399E+03
3.49000E-01 6.59111E-01 1.80447E+03
3.50000E-01 6.61112E-01 1.80495E+03
3.51000E-01 6.63113E-01 1.80542E+03
3.52000E-01 6.65114E-01 1.80590E+03
3.53000E-01 6.67114E-01 1.80638E+03
3.54000E-01 6.69115E-01 1.80685E+03
3.55000E-01 6.71116E-01 1.80732E+03
3.56000E-01 6.73117E-01 1.80779E+03
3.57000E-01 6.75119E-01 1.80826E+03
3.58000E-01 6.77120E-01 1.80873E+03
3.59000E-01 6.79121E-01 1.80920E+03
3.60000E-01 6.81122E-01 1.80967E+03
3.61000E-01 6.83124E-01 1.81013E+03
3.62000E-01 6.85125E-01 1.81059E+03
3.63000E-01 6.87127E-01 1.81105E+03
3.64000E-01 6.89128E-01 1.81151E+03
3.65000E-01 6.91130E-01 1.81197E+03
3.66000E-01 6.93132E-01 1.81243E+03
3.67000E-01 6.95133E-01 1.81289E+03
3.68000E-01 6.97135E-01 1.81334E+03
3.69000E-01 6.99137E-01 1.81380E+03
3.70000E-01 7.01139E-01 1.81425E+03
3.71000E-01 7.03141E-01 1.81470E+03
3.72000E-01 7.05143E-01 1.81515E+03
3.73000E-01 7.07146E-01 1.81560E+03
3.74000E-01 7.09148E-01 1.81605E+03
3.75000E-01 7.11150E-01 1.81649E+03
3.76000E-01 7.13152E-01 1.81694E+03
3.77000E-01 7.15155E-01 1.81738E+03
3.78000E-01 7.17157E-01 1.81782E+03
3.79000E-01 7.19160E-01 1.81826E+03
3.80000E-01 7.21162E-01 1.81870E+03
3.81000E-01 7.23165E-01 1.81914E+03
3.82000E-01 7.25168E-01 1.81958E+03
3.83000E-01 7.27171E-01 1.82002E+03
3.84000E-01 7.29174E-01 1.82045E+03
3.85000E-01 7.31176E-01 1.82088E+03
3.86000E-01 7.33179E-01 1.82132E+03
3.87000E-01 7.35183E-01 1.82175E+03
3.88000E-01 7.37186E-01 1.82218E+03
3.89000E-01 7.39189E-01 1.82261E+03
3.90000E-01 7.41192E-01 1.82303E+03
3.91000E-01 7.43195E-01 1.82346E+03
3.92000E-01 7.45199E-01 1.82388E+03
3.93000E-01 7.47202E-01 1.82431E+03
3.94000E-01 7.49206E-01 1.82473E+03
3.95000E-01 7.51209E-01 1.82515E+03
3.96000E-01 7.53213E-01 1.82557E+03
3.97000E-01 7.55217E-01 1.82599E+03
3.98000E-01 7.57220E-01 1.82641E+03
3.99000E-01 7.59224E-01 1.82682E+03
4.00000E-01 7.61228E-01 1.82724E+03
4.01000E-01 7.63232E-01 1.82765E+03
4.02000E-01 7.65236E-01 1.82807E+03
4.03000E-01 7.67240E-01 1.82848E+03
4.04000E-01 7.69244E-01 1.82889E+03
4.05000E-01 7.71248E-01 1.82930E+03
4.06000E-01 7.73253E-01 1.82971E+03
4.07000E-01 7.75257E-01 1.83011E+03
4.08000E-01 7.77261E-01 1.83052E+03
4.09000E-01 7.79266E-01 1.83093E+03
4.10000E-01 7.81270E-01 1.83133E+03
4.11000E-01 7.83275E-01 1.83173E+03
4.12000E-01 7.85279E-01 1.83213E+03
4.13000E-01 7.87284E-01 1.83253E+03
4.14000E-01 7.89289E-01 1.83293E+03
4.15000E-01 7.91294E-01 1.83333E+03
4.16000E-01 7.93298E-01 1.83373E+03
4.17000E-01 7.95303E-01 1.83412E+03
4.18000E-01 7.97308E-01 1.83452E+03
4.19000E-01 7.99313E-01 1.83491E+03
4.20000E-01 8.01318E-01 1.83530E+03
4.21000E-01 8.03324E-01 1.83569E+03
4.22000E-01 8.05329E-01 1.83608E+03
4.23000E-01 8.07334E-01 1.83647E+03
4.24000E-01 8.09340E-01 1.83686E+03
4.25000E-01 8.11345E-01 1.83725E+03
4.26000E-01 8.13350E-01 1.83763E+03
4.27000E-01 8.15356E-01 1.83802E+03
4.28000E-01 8.17362E-01 1.83840E+03
4.29000E-01 8.19367E-01 1.83878E+03
4.30000E-01 8.21373E-01 1.83916E+03
4.31000E-01 8.23379E-01 1.83954E+03
4.32000E-01 8.25384E-01 1.83992E+03
4.33000E-01 8.27390E-01 1.84030E+03
4.34000E-01 8.29396E-01 1.84068E+03
4.35000E-01 8.31402E-01 1.84106E+03
4.36000E-01 8.33408E-01 1.84143E+03
4.37000E-01 8.35414E-01 1.84181E+03
4.38000E-01 8.37421E-01 1.84218E+03
4.39000E-01 8.39427E-01 1.84255E+03
4.40000E-01 8.41433E-01 1.84292E+03
4.41000E-01 8.43440E-01 1.84329E+03
4.42000E-01 8.45446E-01 1.84366E+03
4.43000E-01 8.47452E-01 1.84403E+03
4.44000E-01 8.49459E-01 1.84440E+03
4.45000E-01 8.51466E-01 1.84476E+03
4.46000E-01 8.53472E-01 1.84513E+03
4.47000E-01 8.55479E-01 1.84549E+03
4.48000E-01 8.57486E-01 1.84585E+03
4.49000E-01 8.59492E-01 1.84622E+03
4.50000E-01 8.61499E-01 1.84658E+03
4.51000E-01 8.63506E-01 1.84694E+03
4.52000E-01 8.65513E-01 1.84730E+03
4.53000E-01 8.67520E-01 1.84765E+03
4.54000E-01 8.69527E-01 1.84801E+03
4.55000E-01 8.71535E-01 1.84837E+03
4.56000E-01 8.73542E-01 1.84872E+03
4.57000E-01 8.75549E-01 1.84908E+03
4.58000E-01 8.77556E-01 1.84943E+03
4.59000E-01 8.79564E-01 1.84978E+03
4.60000E-01 8.81571E-01 1.85013E+03
4.61000E-01 8.83579E-01 1.85048E+03
4.62000E-01 8.85586E-01 1.85083E+03
4.63000E-01 8.87594E-01 1.85118E+03
4.64000E-01 8.89602E-01 1.85153E+03
4.65000E-01 8.91609E-01 1.85188E+03
4.66000E-01 8.93617E-01 1.85222E+03
4.67000E-01 8.95625E-01 1.85257E+03
4.68000E-01 8.97633E-01 1.85291E+03
4.69000E-01 8.99641E-01 1.85326E+03
4.70000E-01 9.01649E-01 1.85360E+03
4.71000E-01 9.03657E-01 1.85394E+03
4.72000E-01 9.05665E-01 1.85428E+03
4.73000E-01 9.07673E-01 1.85462E+03
4.74000E-01 9.09682E-01 1.85496E+03
4.75000E-01 9.11690E-01 1.85529E+03
4.76000E-01 9.13698E-01 1.85563E+03
4.77000E-01 9.15707E-01 1.85597E+03
4.78000E-01 9.17715E-01 1.85630E+03
4.79000E-01 9.19724E-01 1.85663E+03
4.80000E-01 9.21732E-01 1.85697E+03
4.81000E-01 9.23741E-01 1.85730E+03
4.82000E-01 9.25749E-01 1.85763E+03
4.83000E-01 9.27758E-01 1.85796E+03
4.84000E-01 9.29767E-01 1.85829E+03
4.85000E-01 9.31776E-01 1.85862E+03
4.86000E-01 9.33785E-01 1.85895E+03
4.87000E-01 9.35794E-01 1.85927E+03
4.88000E-01 9.37803E-01 1.85960E+03
4.89000E-01 9.39812E-01 1.85992E+03
4.90000E-01 9.41821E-01 1.86025E+03
4.91000E-01 9.43830E-01 1.86057E+03
4.92000E-01 9.45839E-01 1.86089E+03
4.93000E-01 9.47849E-01 1.86122E+03
4.94000E-01 9.49858E-01 1.86154E+03
4.95000E-01 9.51867E-01 1.86186E+03
4.96000E-01 9.53877E-01 1.86218E+03
4.97000E-01 9.55886E-01 1.86249E+03
4.98000E-01 9.57896E-01 1.86281E+03
4.99000E-01 9.59906E-01 1.86313E+03
5.00000E-01 9.61915E-01 1.86344E+03
5.01000E-01 9.63925E-01 1.86376E+03
5.02000E-01 9.65935E-01 1.86407E+03
5.03000E-01 9.67945E-01 1.86438E+03
5.04000E-01 9.69955E-01 1.86470E+03
5.05000E-01 9.71965E-01 1.86501E+03
5.06000E-01 9.73975E-01 1.86532E+03
5.07000E-01 9.75985E-01 1.86563E+03
5.08000E-01 9.77995E-01 1.86593E+03
5.09000E-01 9.80005E-01 1.86624E+03
5.10000E-01 9.82015E-01 1.86655E+03
5.11000E-01 9.84025E-01 1.86685E+03
5.12000E-01 9.86036E-01 1.86716E+03
5.13000E-01 9.88046E-01 1.86746E+03
5.14000E-01 9.90057E-01 1.86777E+03
5.15000E-01 9.92067E-01 1.86807E+03
5.16000E-01 9.94078E-01 1.86837E+03
5.17000E-01 9.96088E-01 1.86867E+03
5.18000E-01 9.98099E-01 1.86897E+03
5.19000E-01 1.00011E+00 1.86927E+03
5.20000E-01 1.00212E+00 1.86957E+03
5.21000E-01 1.00413E+00 1.86987E+03
5.22000E-01 1.00614E+00 1.87016E+03
5.23000E-01 1.00815E+00 1.87046E+03
5.24000E-01 1.01016E+00 1.87075E+03
5.25000E-01 1.01218E+00 1.87105E+03
5.26000E-01 1.01419E+00 1.87134E+03
5.27000E-01 1.01620E+00 1.87163E+03
5.28000E-01 1.01821E+00 1.87192E+03
5.29000E-01 1.02022E+00 1.87221E+03
5.30000E-01 1.02223E+00 1.87250E+03
5.31000E-01 1.02424E+00 1.87279E+03
5.32000E-01 1.02625E+00 1.87308E+03
5.33000E-01 1.02827E+00 1.87337E+03
5.34000E-01 1.03028E+00 1.87366E+03
5.35000E-01 1.03229E+00 1.87394E+03
5.36000E-01 1.03430E+00 1.87423E+03
5.37000E-01 1.03631E+00 1.87451E+03
5.38000E-01 1.03832E+00 1.87479E+03
5.39000E-01 1.04034E+00 1.87507E+03
5.40000E-01 1.04235E+00 1.87536E+03
5.41000E-01 1.04436E+00 1.87564E+03
5.42000E-01 1.04637E+00 1.87592E+03
5.43000E-01 1.04838E+00 1.87619E+03
5.44000E-01 1.05040E+00 1.87647E+03
5.45000E-01 1.05241E+00 1.87675E+03
5.46000E-01 1.05442E+00 1.87703E+03
5.47000E-01 1.05643E+00 1.87730E+03
5.48000E-01 1.05844E+00 1.87758E+03
5.49000E-01 1.06046E+00 1.87785E+03
5.50000E-01 1.06247E+00 1.87812E+03
5.51000E-01 1.06448E+00 1.87840E+03
5.52000E-01 1.06649E+00 1.87867E+03
5.53000E-01 1.06851E+00 1.87894E+03
5.54000E-01 1.07052E+00 1.87921E+03
5.55000E-01 1.07253E+00 1.87948E+03
5.56000E-01 1.07455E+00 1.87975E+03
5.57000E-01 1.07656E+00 1.88001E+03
5.58000E-01 1.07857E+00 1.88028E+03
5.59000E-01 1.08058E+00 1.88055E+03
5.60000E-01 1.08260E+00 1.88081E+03
5.61000E-01 1.08461E+00 1.88107E+03
5.62000E-01 1.08662E+00 1.88134E+03
5.63000E-01 1.08864E+00 1.88160E+03
5.64000E-01 1.09065E+00 1.88186E+03
5.65000E-01 1.09266E+00 1.88212E+03
5.66000E-01 1.09468E+00 1.88238E+03
5.67000E-01 1.09669E+00 1.88264E+03
5.68000E-01 1.09870E+00 1.88290E+03
5.69000E-01 1.10072E+00 1.88316E+03
5.70000E-01 1.10273E+00 1.88341E+03
