#INST  CMOD   FORCE   
2.170000E-01          8.248367E-01              1.016863E+04 
2.172500E-01          8.260512E-01              1.012010E+04 
2.175000E-01          8.272490E-01              1.007557E+04 
2.177500E-01          8.284361E-01              1.003353E+04 
2.180000E-01          8.296140E-01              9.993599E+03 
2.190000E-01          8.337572E-01              9.965499E+03 
2.200000E-01          8.379176E-01              9.933386E+03 
2.210000E-01          8.420600E-01              9.905456E+03 
2.220000E-01          8.461771E-01              9.883468E+03 
2.230000E-01          8.502754E-01              9.865839E+03 
2.240000E-01          8.543553E-01              9.852508E+03 
2.250000E-01          8.584299E-01              9.840426E+03 
2.260000E-01          8.624994E-01              9.829573E+03 
2.270000E-01          8.665670E-01              9.819199E+03 
2.272500E-01          8.676218E-01              9.807839E+03 
2.275000E-01          8.686655E-01              9.799064E+03 
2.277500E-01          8.697016E-01              9.792037E+03 
2.280000E-01          8.707307E-01              9.786635E+03 
2.290000E-01          8.747425E-01              9.789250E+03 
2.300000E-01          8.787913E-01              9.783299E+03 
2.310000E-01          8.828518E-01              9.774679E+03 
2.320000E-01          8.869215E-01              9.763956E+03 
2.330000E-01          8.909962E-01              9.752109E+03 
2.340000E-01          8.950723E-01              9.739971E+03 
2.350000E-01          8.991468E-01              9.728240E+03 
2.360000E-01          9.032245E-01              9.715807E+03 
2.370000E-01          9.073000E-01              9.703902E+03 
2.380000E-01          9.113696E-01              9.693395E+03 
2.390000E-01          9.154431E-01              9.681992E+03 
2.400000E-01          9.195162E-01              9.670749E+03 
2.410000E-01          9.235889E-01              9.659613E+03 
2.420000E-01          9.276595E-01              9.648968E+03 
2.430000E-01          9.317349E-01              9.637265E+03 
2.440000E-01          9.358078E-01              9.626164E+03 
2.450000E-01          9.398795E-01              9.615384E+03 
2.460000E-01          9.439514E-01              9.604563E+03 
2.470000E-01          9.480266E-01              9.593022E+03 
2.480000E-01          9.521008E-01              9.581758E+03 
2.490000E-01          9.561701E-01              9.571638E+03 
2.500000E-01          9.602433E-01              9.560653E+03 
2.510000E-01          9.643181E-01              9.549313E+03 
2.520000E-01          9.683935E-01              9.537884E+03 
2.530000E-01          9.724658E-01              9.527184E+03 
2.540000E-01          9.765434E-01              9.515292E+03 
2.550000E-01          9.806197E-01              9.503740E+03 
2.560000E-01          9.846946E-01              9.492540E+03 
2.570000E-01          9.887705E-01              9.481118E+03 
2.580000E-01          9.928500E-01              9.468905E+03 
2.590000E-01          9.969298E-01              9.456650E+03 
2.600000E-01          1.001005E+00              9.445468E+03 
2.610000E-01          1.005085E+00              9.433335E+03 
2.620000E-01          1.009165E+00              9.421139E+03 
2.630000E-01          1.013244E+00              9.409111E+03 
2.640000E-01          1.017322E+00              9.397305E+03 
2.650000E-01          1.021405E+00              9.384486E+03 
2.660000E-01          1.025487E+00              9.371992E+03 
2.670000E-01          1.029566E+00              9.360274E+03 
2.680000E-01          1.033648E+00              9.347753E+03 
2.690000E-01          1.037731E+00              9.334903E+03 
2.700000E-01          1.041815E+00              9.322028E+03 
2.710000E-01          1.045897E+00              9.309643E+03 
2.720000E-01          1.049983E+00              9.296325E+03 
2.730000E-01          1.054067E+00              9.283563E+03 
2.740000E-01          1.058148E+00              9.271449E+03 
2.750000E-01          1.062231E+00              9.258788E+03 
2.760000E-01          1.066317E+00              9.245782E+03 
2.770000E-01          1.070402E+00              9.232842E+03 
2.780000E-01          1.074484E+00              9.220637E+03 
2.790000E-01          1.078571E+00              9.207198E+03 
2.800000E-01          1.082656E+00              9.194317E+03 
2.810000E-01          1.086739E+00              9.181939E+03 
2.820000E-01          1.090824E+00              9.169119E+03 
2.830000E-01          1.094911E+00              9.155905E+03 
2.840000E-01          1.098998E+00              9.142730E+03 
2.850000E-01          1.103082E+00              9.130392E+03 
2.860000E-01          1.107171E+00              9.116805E+03 
2.870000E-01          1.111257E+00              9.103796E+03 
2.880000E-01          1.115342E+00              9.091285E+03 
2.890000E-01          1.119429E+00              9.078269E+03 
2.900000E-01          1.123517E+00              9.064850E+03 
2.910000E-01          1.127606E+00              9.051422E+03 
2.920000E-01          1.131692E+00              9.038756E+03 
2.930000E-01          1.135783E+00              9.024944E+03 
2.940000E-01          1.139871E+00              9.011762E+03 
2.950000E-01          1.143957E+00              8.999127E+03 
2.960000E-01          1.148045E+00              8.985966E+03 
2.970000E-01          1.152135E+00              8.972448E+03 
2.980000E-01          1.156225E+00              8.958937E+03 
2.990000E-01          1.160312E+00              8.946191E+03 
3.000000E-01          1.164404E+00              8.932219E+03 
3.010000E-01          1.168495E+00              8.918728E+03 
3.020000E-01          1.172583E+00              8.905734E+03 
3.030000E-01          1.176674E+00              8.892099E+03 
3.040000E-01          1.180767E+00              8.878165E+03 
3.050000E-01          1.184859E+00              8.864389E+03 
3.060000E-01          1.188948E+00              8.851333E+03 
3.070000E-01          1.193042E+00              8.837233E+03 
3.080000E-01          1.197134E+00              8.823501E+03 
3.090000E-01          1.201224E+00              8.810434E+03 
3.100000E-01          1.205316E+00              8.796648E+03 
3.110000E-01          1.209410E+00              8.782752E+03 
3.120000E-01          1.213503E+00              8.769003E+03 
3.130000E-01          1.217594E+00              8.755596E+03 
3.140000E-01          1.221689E+00              8.741308E+03 
3.150000E-01          1.225784E+00              8.727141E+03 
3.160000E-01          1.229876E+00              8.713873E+03 
3.170000E-01          1.233971E+00              8.699625E+03 
3.180000E-01          1.238066E+00              8.685492E+03 
3.190000E-01          1.242161E+00              8.671545E+03 
3.200000E-01          1.246256E+00              8.657453E+03 
3.210000E-01          1.250354E+00              8.642774E+03 
3.220000E-01          1.254452E+00              8.628119E+03 
3.230000E-01          1.258545E+00              8.614661E+03 
3.240000E-01          1.262642E+00              8.600222E+03 
3.250000E-01          1.266737E+00              8.586322E+03 
3.260000E-01          1.270830E+00              8.572953E+03 
3.270000E-01          1.274925E+00              8.559134E+03 
3.280000E-01          1.279021E+00              8.545061E+03 
3.290000E-01          1.283117E+00              8.531038E+03 
3.300000E-01          1.287210E+00              8.517570E+03 
3.310000E-01          1.291309E+00              8.503133E+03 
3.320000E-01          1.295406E+00              8.488937E+03 
3.330000E-01          1.299499E+00              8.475527E+03 
3.340000E-01          1.303597E+00              8.461254E+03 
3.350000E-01          1.307695E+00              8.446971E+03 
3.360000E-01          1.311792E+00              8.432981E+03 
3.370000E-01          1.315888E+00              8.419113E+03 
3.380000E-01          1.319987E+00              8.404634E+03 
3.390000E-01          1.324086E+00              8.390056E+03 
3.400000E-01          1.328182E+00              8.376405E+03 
3.410000E-01          1.332284E+00              8.361427E+03 
3.420000E-01          1.336385E+00              8.346565E+03 
3.430000E-01          1.340484E+00              8.332228E+03 
3.440000E-01          1.344584E+00              8.317725E+03 
3.450000E-01          1.348683E+00              8.303255E+03 
3.460000E-01          1.352782E+00              8.289033E+03 
3.470000E-01          1.356879E+00              8.275296E+03 
3.480000E-01          1.360980E+00              8.260772E+03 
3.490000E-01          1.365079E+00              8.246433E+03 
3.500000E-01          1.369175E+00              8.232936E+03 
3.510000E-01          1.373275E+00              8.218584E+03 
3.520000E-01          1.377375E+00              8.204349E+03 
3.530000E-01          1.381473E+00              8.190412E+03 
3.540000E-01          1.385572E+00              8.176340E+03 
3.550000E-01          1.389674E+00              8.161793E+03 
3.560000E-01          1.393775E+00              8.147240E+03 
3.570000E-01          1.397873E+00              8.133448E+03 
3.580000E-01          1.401976E+00              8.118656E+03 
3.590000E-01          1.406077E+00              8.104270E+03 
3.600000E-01          1.410175E+00              8.090522E+03 
3.610000E-01          1.414277E+00              8.076146E+03 
3.620000E-01          1.418378E+00              8.061746E+03 
3.630000E-01          1.422479E+00              8.047593E+03 
3.640000E-01          1.426579E+00              8.033549E+03 
3.650000E-01          1.430682E+00              8.018936E+03 
3.660000E-01          1.434785E+00              8.004261E+03 
3.670000E-01          1.438884E+00              7.990563E+03 
3.680000E-01          1.442987E+00              7.975794E+03 
3.690000E-01          1.447089E+00              7.961426E+03 
3.700000E-01          1.451189E+00              7.947555E+03 
3.710000E-01          1.455292E+00              7.933232E+03 
3.720000E-01          1.459395E+00              7.918736E+03 
3.730000E-01          1.463497E+00              7.904425E+03 
3.740000E-01          1.467598E+00              7.890420E+03 
3.750000E-01          1.471702E+00              7.875768E+03 
3.760000E-01          1.475806E+00              7.861184E+03 
3.770000E-01          1.479906E+00              7.847485E+03 
3.780000E-01          1.484010E+00              7.832890E+03 
3.790000E-01          1.488113E+00              7.818531E+03 
3.800000E-01          1.492215E+00              7.804582E+03 
3.810000E-01          1.496317E+00              7.790434E+03 
3.820000E-01          1.500421E+00              7.775972E+03 
3.830000E-01          1.504525E+00              7.761570E+03 
3.840000E-01          1.508626E+00              7.747773E+03 
3.850000E-01          1.512732E+00              7.733111E+03 
3.860000E-01          1.516836E+00              7.718723E+03 
3.870000E-01          1.520937E+00              7.705012E+03 
3.880000E-01          1.525041E+00              7.690634E+03 
3.890000E-01          1.529145E+00              7.676296E+03 
3.900000E-01          1.533249E+00              7.662219E+03 
3.910000E-01          1.537352E+00              7.648199E+03 
3.920000E-01          1.541457E+00              7.633678E+03 
3.930000E-01          1.545563E+00              7.619101E+03 
3.940000E-01          1.549665E+00              7.605405E+03 
3.950000E-01          1.553771E+00              7.590708E+03 
3.960000E-01          1.557876E+00              7.576418E+03 
3.970000E-01          1.561979E+00              7.562596E+03 
3.980000E-01          1.566083E+00              7.548370E+03 
3.990000E-01          1.570189E+00              7.533999E+03 
4.000000E-01          1.574294E+00              7.519801E+03 
4.010000E-01          1.578397E+00              7.505946E+03 
4.020000E-01          1.582504E+00              7.491408E+03 
4.030000E-01          1.586610E+00              7.476957E+03 
4.040000E-01          1.590713E+00              7.463285E+03 
